"","Origin","Weather","Security","LateAircraft"
"5636","LAX",0,0,8
"5637","LAX",0,0,20
"5638","LAX",0,0,129
"5639","LAX",0,0,8
"5640","LAX",0,0,1
"5641","LAX",0,0,19
"5642","LAX",0,0,15
"5643","LAX",0,0,80
"5644","LAX",0,0,18
"5645","LAX",0,0,45
"5646","LAX",0,0,8
"5647","LAX",0,0,30
"5648","LAX",0,0,15
"5649","LAX",0,0,24
"5650","LAX",0,0,75
"5651","LAX",0,0,24
"5652","LAX",0,0,18
"5653","LAX",0,0,13
"5654","LAX",0,0,128
"5655","LAX",0,0,41
"5656","LAX",0,0,63
"5657","LAX",0,0,25
"5658","LAX",0,0,8
"5659","LAX",0,0,142
"5660","LAX",0,0,6
"5662","LAX",0,0,18
"5663","LAX",0,0,61
"5664","LAX",0,0,110
"5666","LAX",0,0,83
"5667","LAX",48,0,28
"5668","LAX",0,0,31
"5669","LAX",0,0,29
"5670","LAX",0,0,29
"5672","LAX",0,0,23
"5673","LAX",0,0,22
"5674","LAX",0,0,44
"5675","LAX",0,0,82
"5676","LAX",0,0,17
"5677","LAX",0,0,46
"5678","LAX",0,0,5
"5679","LAX",0,0,0
"5680","LAX",0,0,0
"5681","LAX",0,0,7
"5682","LAX",0,10,7
"5683","LAX",0,0,56
"5685","LAX",0,0,25
"5686","LAX",0,0,29
"5688","LAX",0,0,39
"5689","LAX",0,0,24
"5691","LAX",0,0,29
"5692","LAX",0,0,48
"5693","LAX",0,0,81
"5694","LAX",0,0,221
"7103","LAX",0,0,19
"7107","LAX",0,0,69
"7108","LAX",0,0,15
"7110","LAX",0,0,13
"7114","LAX",0,0,0
"7115","LAX",0,0,5
"7116","LAX",0,0,27
"7123","LAX",0,0,31
"7125","LAX",0,0,48
"7126","LAX",0,0,8
"7127","LAX",0,0,0
"7130","LAX",0,0,12
"7131","LAX",0,0,8
"7132","LAX",0,0,21
"7133","LAX",0,0,23
"7134","LAX",0,0,11
"7135","LAX",0,0,69
"7141","LAX",0,0,13
"7142","LAX",0,0,12
"7143","LAX",0,0,42
"8128","LAX",0,0,41
"8131","LAX",0,0,17
"8132","LAX",0,0,7
"8137","LAX",0,0,0
"8139","LAX",0,0,12
"8140","LAX",0,0,9
"8141","LAX",0,0,0
"8143","LAX",0,0,9
"8146","LAX",0,0,20
"8147","LAX",0,0,0
"8149","LAX",0,0,0
"8150","LAX",29,0,117
"8151","LAX",0,0,0
"8152","LAX",0,0,0
"8153","LAX",0,0,0
"8155","LAX",0,0,30
"8156","LAX",0,0,34
